,title,comment,score
424,unacceptable way business,unacceptable way business made many serious troubles customers poland retreated really rebtel closed business poland months extremely poor support serious legal violations shame,1
425,cheap fast good signal amazing…,cheap fast good signal amazing pretty happy please ask,5
426,overall good app,overall good app transactions arent,1
427,easy use network excellent,easy use network excellent,5
428,good app,good app internet failure easy use perfect thanks,5
429,great app,great app easy use easily connect destination number,5
430,everything best,everything best,5
431,best international calling app,would recommend company anyone,5
432,didnt get credit,recharge via apple store already gone money also give invoice rebel account show credit still add money also ask customer support didt solve problem,1
433,great app,great app glad found definitely recommend,5
434,good quality price,good quality price alone product worth using would nice app didnt provide dialer used native dialer relevant os would also nice offer pinless dialing number could configure pauses native dialer interfaces webmobile easy navigate however app provide ability configure local numbers finally ios experience confusing apps cost main one room improve overall good offering,4
435,good,excellent service,5
436,trying call cuba from…,trying call cuba cell phone,1
437,good,good,4
438,good service,good service impressed,5
439,low price good service,low price good service,5
440,hello,hello,3
441,good services,good services,5
442,good service technical back…,good service technical back,4
443,good connection,good connection,4
444,app good pricing not…,app good pricing live canada paid looked account noticed guys taken 11 credit card less 50 minutes meanwhile 10 dollar international calling would given 98 minutes need review pricing also show canadian dollars us live canada know actual amount paying,3
445,really good compared vonage,really good compared vonage quality good,5
446,great connection price,great connection price,5
447,far,far good excellent quality keep,5
